rank,show_name,composite_score,genre,country,consumption_score,platform_reach_score,platform_count_score,genre_rank_score,total_consumption,platforms_present,spotify_plays,youtube_views,amazon_plays,apple_plays
83,the toast,20.435605604438866,Other,Unknown,4.661578663352041,21.934337774070624,50.0,37.17948717948718,48485224.0,2,27201714.0,0.0,0.0,21283510.0
84,микола давидюк,20.391133586410092,Other,UA,12.148999121910123,12.608811152916186,25.0,67.94871794871796,126362116.0,1,0.0,126362116.0,0.0,0.0
85,,20.04279687555577,Other,Unknown,11.747294231686432,12.191902644716617,25.0,67.3076923076923,122183971.0,1,0.0,122183971.0,0.0,0.0
86,timcast news stories,19.97552416986199,Other,US,11.742813906593737,12.187252749492277,25.0,66.66666666666666,122137371.0,1,0.0,122137371.0,0.0,0.0
87,the ezra klein,19.96396182997685,Other,Unknown,3.3604436074094717,23.790495003155428,50.0,35.256410256410255,34952078.0,2,11867486.0,0.0,0.0,23084592.0
88,rof daily updates,19.723377922426273,Other,US,11.477053905433236,11.911434335727778,25.0,66.02564102564102,119373193.0,1,0.0,119373193.0,0.0,0.0
89,подкасты мировая политика сша китай россия украина,19.558074098356087,Other,US,11.334027314538444,11.762994513126628,25.0,65.38461538461539,117885569.0,1,0.0,117885569.0,0.0,0.0
90,caso cerrado pleitos familiares con escándalo,19.400409159031305,Other,US,11.201796672663686,11.625759241702431,25.0,64.74358974358975,116510234.0,1,0.0,116510234.0,0.0,0.0
91,강펀치 매주 월 금_오전 10시 20분,19.227974013014247,Other,KR,11.048691465485264,11.466859350076023,25.0,64.1025641025641,114917782.0,1,0.0,114917782.0,0.0,0.0
92,monólogos,19.12180577888872,Other,MX,10.989240531978957,11.40515833372697,25.0,63.46153846153846,114299431.0,1,0.0,114299431.0,0.0,0.0
93,beto ribeiro crime comportamento e mistério,18.859777805546205,Other,BR,10.709514799867494,11.11484561780588,25.0,62.82051282051282,111389995.0,1,0.0,111389995.0,0.0,0.0
94,the philip defranco every montueswedthursfriday,18.74674560261659,Other,US,10.64036309723666,11.043076680247697,25.0,62.17948717948718,110670746.0,1,0.0,110670746.0,0.0,0.0
95,전수미의 뉴스인사이다 이승원의 뉴인사 프라임 am650,18.67528728959056,Other,KR,10.629967300856876,11.032287426579838,25.0,61.53846153846154,110562619.0,1,0.0,110562619.0,0.0,0.0
96,王局拍案,18.607299737376596,Other,JP,10.624476691299071,11.026589009917357,25.0,60.89743589743589,110505511.0,1,0.0,110505511.0,0.0,0.0
97,die nervigen,18.593465654644287,Comedy,DE,1.4705320134918627,24.89705884555239,25.0,78.78787878787878,15295049.0,1,0.0,0.0,15295049.0,0.0
98,the joe budden,18.556353619313114,Other,Unknown,2.7828873033178625,18.51685753057862,50.0,34.61538461538461,28944897.0,2,10977465.0,0.0,0.0,17967432.0
99,jabab chay bangla জবব চয় বল,18.539373547130772,Other,IN,10.61907280391366,11.020980597664584,25.0,60.256410256410255,110449305.0,1,0.0,110449305.0,0.0,0.0
